id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
1.0	4.1	2009.260377	42.37459	13.33895	8.291	175.0	65.0	-75.0	396800.0	293200.0	-179600.0	219600.0	-19540.0	-380600.0
2.0	4.8	2009.260394	42.37584	13.35225	8.749	0.0	35.0	-50.0	362200.0	-88150.0	845000.0	978600.0	-437500.0	-35420.0
3.0	3.8	2009.260546	42.33842	13.39647	6.907	315.0	68.0	-118.0	-287600.0	515600.0	-347900.0	-752900.0	76340.0	-3418000.0
4.0	3.33	2009.260569	42.37629	13.38254	7.363	20.0	40.0	-35.0	-487200.0	-301000.0	259900.0	235500.0	-652800.0	397600.0
5.0	3.82	2009.260643	42.36725	13.37459	7.759	350.0	30.0	-50.0	693000.0	139300.0	477500.0	2354000.0	-1219000.0	482100.0
6.0	2.0	2009.260819	42.32143	13.4104	8.72	125.0	15.0	-10.0	2648000.0	1942000.0	-1186000.0	910100.0	-985.6	-2696000.0
7.0	3.54	2009.26082	42.32937	13.40171	8.207	320.0	30.0	-80.0	-618200.0	640700.0	-954500.0	552800.0	-111900.0	-3648000.0
8.0	1.8	2009.260871	42.36286	13.35161	8.963	125.0	10.0	70.0	-1602000.0	-2694000.0	2221000.0	-2112000.0	512700.0	5197000.0
9.0	3.25	2009.260872	42.30846	13.38315	2.217	200.0	85.0	-35.0	131800.0	159300.0	93660.0	246800.0	32950.0	-256100.0
10.0	4.03	2009.260927	42.36659	13.39779	5.693	335.0	35.0	-75.0	-6909000.0	-6431000.0	1856000.0	-7389000.0	227200.0	8109000.0
11.0	3.37	2009.260949	42.35491	13.42047	12.491	35.0	55.0	-15.0	475100.0	63250.0	390200.0	239500.0	20930.0	918400.0
12.0	3.0	2009.26097	42.3364	13.39281	8.204	160.0	50.0	-90.0	-1712000.0	-370600.0	-716800.0	63050.0	-702200.0	-2177000.0
13.0	2.0	2009.261056	42.31783	13.40704	8.667	110.0	65.0	-70.0	338600.0	117200.0	-730900.0	-1453000.0	107300.0	-644800.0
14.0	3.37	2009.261085	42.36616	13.37445	7.312	5.0	45.0	-50.0	-1796000.0	-3144000.0	2103000.0	-3230000.0	137500.0	4238000.0
