n	x1	x2	x3	t	s11	s12	s13	s22	s23	s33	cfs	dip	stk	rk
2	9.986591751334911	-3.8716251616362536	0.0201904920409572	1.0	217500.0	208700.0	112700.0	581400.0	-176500.0	-85600.0	373218.5931740289	60.0	110.0	-90.0
3	11.89502642910719	-3.1292244344360385	2.09636266047197	1.0	405700.0	47600.0	-1344.0	186200.0	-17060.0	-65950.0	25632.164189344403	20.0	55.0	-30.0
4	11.522067759221358	-4.0466969096522485	0.3788008477029969	1.0	207100.0	59270.0	74530.0	220700.0	-66950.0	37620.0	97573.53159170422	25.0	140.0	-110.0
5	6.264191680950211	-1.0531662034967249	1.8856522667503264	1.0	307100.0	72000.0	15960.0	190400.0	-16100.0	22310.0	152841.06545943458	70.0	360.0	20.0
6	11.879290814854084	-1.3313144595659396	0.0760397732428359	1.0	365900.0	-42120.0	-447000.0	-747100.0	171800.0	2209.0	267882.73499039904	70.0	90.0	-150.0
7	9.162572095097506	0.6014372915651081	0.6900091686285413	1.0	374900.0	241200.0	16100.0	238300.0	-21230.0	-83020.0	177484.98675006826	80.0	140.0	170.0
8	8.755143202509952	-0.2671936420851388	1.1140704403664634	1.0	-123600.0	229000.0	129700.0	214800.0	-374600.0	-738200.0	-56551.67638314908	85.0	55.0	150.0
9	8.281592897526332	-3.1085170834192564	0.7505237736072069	1.0	-185400.0	-793300.0	703400.0	-1044000.0	117800.0	1927000.0	35099.5505939658	45.0	80.0	-110.0
10	10.120168241893646	0.8800174359692285	2.2000916733208604	1.0	458700.0	44600.0	-25930.0	189300.0	-69370.0	26460.0	72111.72984769916	30.0	165.0	-70.0
11	10.69262624741675	-0.0002370888580236	0.3232707854320922	1.0	179500.0	148600.0	269700.0	482800.0	-114800.0	111300.0	370591.8425864183	50.0	120.0	-90.0
12	8.11446326363717	-1.87245038326324	4.082097753860085	1.0	432200.0	355100.0	132300.0	525400.0	-8704.0	56670.0	139509.46328459407	25.0	35.0	-50.0
13	9.361891672497514	-0.8192816901772366	2.184729056014288	1.0	-69780.0	141100.0	98650.0	688800.0	-350200.0	-48570.0	297003.89786040876	10.0	25.0	-130.0
14	8.186097446831116	-2.2381914413188846	0.5195319057525759	1.0	389900.0	120200.0	347900.0	745200.0	-333800.0	213800.0	761544.373069772	15.0	25.0	-90.0
15	9.215646187053649	-1.1208097770315408	3.3396029132364595	1.0	597600.0	50670.0	-42140.0	245700.0	-93080.0	22800.0	369877.03987507796	45.0	280.0	-160.0
16	10.714684101965323	-1.038810742418747	1.49702721553759	1.0	164700.0	44800.0	305100.0	601300.0	-352100.0	184000.0	768786.491462371	35.0	5.0	-120.0
17	9.012504839229074	-2.02682750229352	2.0773730148113065	1.0	370700.0	154000.0	164000.0	391900.0	-116100.0	38760.0	353075.02491039026	80.0	125.0	-150.0
18	11.75577847296606	0.100019442871007	1.1788171116544797	1.0	465000.0	289200.0	-144000.0	190300.0	-20380.0	-256000.0	579132.5541039614	40.0	325.0	-60.0
19	9.272717499101748	-0.6166444888034468	1.9986072200129432	1.0	174000.0	208700.0	121500.0	348400.0	-22470.0	51980.0	290889.49849508354	50.0	360.0	-90.0
20	10.468752727213754	-3.185622615761853	1.9999007214518605	1.0	393700.0	119600.0	356400.0	754100.0	-330300.0	222900.0	122082.06097831525	85.0	170.0	100.0
21	8.337434064692257	-1.309542280168355	0.1614425738567078	1.0	257600.0	90940.0	51050.0	283100.0	-96130.0	22690.0	300858.0381126666	55.0	130.0	-90.0
22	6.539159711819911	4.029521931298376	0.2121775204144584	1.0	889800.0	120700.0	-55050.0	549000.0	-62260.0	-62080.0	617498.1115677321	75.0	135.0	-120.0
23	5.089745797846432	4.98867827227837	2.8307342023898894	1.0	2199000.0	504100.0	2418000.0	2983000.0	2092000.0	-550000.0	1767298.609125011	60.0	15.0	-60.0
