x1	x2	x3	n	t	s11	s12	s13	s22	s23	s33	cfs	dip	stk	rk
10.853	-1.8534	2.9386	1	1.0	203700.0	53080.0	143900.0	323100.0	-142800.0	59460.0	189286.68850080555	20.0	75.0	-130.0
7.7317	-2.2164	2.1161	2	1.0	357500.0	158000.0	-155400.0	-66290.0	10900.0	-37250.0	394236.91775815014	65.0	100.0	-120.0
10.011	-0.92629	2.4236	3	1.0	325400.0	93050.0	276100.0	482200.0	-213400.0	100000.0	58770.635694938945	75.0	35.0	-100.0
10.129	-0.41741	0.14754	4	1.0	885100.0	431400.0	151400.0	575900.0	-39580.0	-114200.0	654375.4542410104	30.0	85.0	-100.0
10.196	0.65167	0.35123	5	1.0	405600.0	378400.0	203300.0	661900.0	22570.0	83630.0	671718.912373214	40.0	125.0	-140.0
8.9527	0.82626	3.7245	6	1.0	98580.0	13860.0	588100.0	536400.0	-233700.0	415100.0	348112.69486113556	35.0	125.0	-110.0
9.5989	1.4129	1.1325	7	1.0	-43210.0	172900.0	260400.0	610000.0	-93370.0	209500.0	-280102.99352040445	85.0	80.0	-110.0
8.6346	-1.2157	0.38576	8	1.0	856600.0	131300.0	-56680.0	472900.0	-83280.0	26030.0	557066.2257063417	50.0	345.0	-70.0
11.059	-3.4355	0.75154	9	1.0	330600.0	73660.0	34060.0	225300.0	-39310.0	23140.0	4328.030472090348	10.0	65.0	20.0
11.589	1.8768	0.10613	10	1.0	-223200.0	261100.0	34330.0	515300.0	-3379.0	-33570.0	347693.08345939434	40.0	120.0	-160.0
9.0458	-2.8495	4.5846	11	1.0	86340.0	129100.0	47460.0	457200.0	-222500.0	-52750.0	459915.2853574773	65.0	20.0	-20.0
14.122	-1.9086	0.77816	12	1.0	145000.0	129900.0	28060.0	171800.0	-7492.0	20720.0	212462.69577550772	60.0	125.0	-65.0
12.458	-3.6486	0.83757	13	1.0	235300.0	76820.0	34680.0	178700.0	-26230.0	22240.0	237464.8173672016	50.0	125.0	-100.0
7.4655	-0.25438	0.45987	14	1.0	1071000.0	219900.0	-213100.0	48580.0	-192000.0	43100.0	-39047.122260145334	60.0	30.0	-30.0
10.076	-0.85538	0.041529	15	1.0	1239000.0	263300.0	-73260.0	319900.0	-71970.0	-222200.0	1068414.9415711926	70.0	90.0	-150.0
5.9895	3.7103	0.55628	16	1.0	-7062000.0	-141800.0	-2253000.0	-6266000.0	13630.0	-21220000.0	-2800778.8313644854	50.0	5.0	-130.0
3.7774	5.5486	0.57954	17	1.0	-4399000.0	-7669000.0	4699000.0	-9270000.0	269000.0	15120000.0	-12533366.304568008	45.0	145.0	-80.0
5.3664	3.1042	1.83	18	1.0	-5660000.0	-5941000.0	2762000.0	-4652000.0	481600.0	12520000.0	-9687325.118698925	50.0	115.0	-130.0
7.5987	5.499	1.8762	19	1.0	-585600.0	-638000.0	121600.0	8267.0	-44030.0	279900.0	-92304.80831331	25.0	5.0	-45.0
5.9081	1.3601	2.4592	20	1.0	-4110000.0	-4415000.0	2313000.0	-4647000.0	146600.0	6937000.0	-9634453.8168758	70.0	145.0	-80.0
5.365	3.6446	0.79999	21	1.0	-12220000.0	-14350000.0	7112000.0	-21750000.0	2381000.0	21580000.0	-21250504.01149918	40.0	145.0	-80.0
4.5325	4.0359	3.4568	22	1.0	-930700.0	-885100.0	486000.0	-509300.0	552400.0	2764000.0	-265104.9672096523	40.0	185.0	-90.0
6.0278	4.8379	1.4119	23	1.0	-540700.0	-856300.0	-424900.0	-1313000.0	-618200.0	-481100.0	-1666479.7752825997	50.0	145.0	-60.0
5.7283	3.9757	0.68603	24	1.0	-7971000.0	-5030000.0	-2271000.0	-10670000.0	-428300.0	-14050000.0	-9521926.526233355	45.0	95.0	-140.0
5.5921	4.8745	0.86121	25	1.0	-2092000.0	-2232000.0	-953800.0	-4083000.0	-631100.0	239000.0	-2059819.2848973228	90.0	280.0	120.0
6.4951	4.6334	2.646	26	1.0	-281800.0	-292200.0	565700.0	226100.0	179000.0	435600.0	273400.37211690826	35.0	145.0	-80.0
6.5215	2.4569	3.5624	27	1.0	-414900.0	-319700.0	1449000.0	681600.0	-79230.0	2148000.0	-29038.440923473332	50.0	130.0	-140.0
6.7522	2.105	1.5284	28	1.0	1603000.0	-1486000.0	2384000.0	1667000.0	-66340.0	5700000.0	173726.1764461368	55.0	175.0	-55.0
5.5149	3.3676	1.9315	29	1.0	-1616000.0	-2547000.0	1705000.0	-515100.0	25000.0	6504000.0	-4160167.6845921096	60.0	130.0	-130.0
3.328	1.3361	1.8345	30	1.0	-997100.0	-723900.0	-249800.0	-740200.0	392800.0	824000.0	-1026377.3471781166	55.0	0.0	-80.0
2.583	8.287	4.0033	31	1.0	-706900.0	-562900.0	290000.0	-512800.0	225900.0	201900.0	11872.766876464768	25.0	90.0	-130.0
-1.8905	7.83	2.7653	32	1.0	840800.0	373200.0	-246700.0	1722000.0	-1699000.0	3611000.0	1882397.3498542453	20.0	10.0	170.0
-0.12392	9.0313	1.0096	33	1.0	-3122000.0	-2799000.0	877700.0	-3821000.0	204500.0	1264000.0	-3210007.925966087	40.0	175.0	-50.0
-3.1724	8.1635	1.471	34	1.0	-354300.0	-134200.0	317400.0	78720.0	-775300.0	945500.0	-355239.9339877721	60.0	140.0	-60.0
3.154	9.9678	0.32328	35	1.0	607300.0	198700.0	112600.0	40010.0	133200.0	64520.0	584261.9178567488	55.0	135.0	-50.0
2.9222	9.5182	0.54856	36	1.0	591700.0	255200.0	214300.0	93730.0	279800.0	103600.0	31443.78813054372	25.0	325.0	-20.0
3.8355	12.064	0.98399	37	1.0	249700.0	-109400.0	125900.0	-226900.0	107200.0	45780.0	-306888.0168838909	90.0	10.0	20.0
0.83448	8.7785	1.444	38	1.0	1247000.0	280700.0	668100.0	358800.0	434200.0	1599000.0	359441.49343707453	60.0	30.0	-130.0
1.923	9.397	1.1305	39	1.0	82110.0	-37340.0	-153700.0	-256000.0	111500.0	156400.0	-113123.0931806947	30.0	175.0	-45.0
-0.35914	9.8373	2.1361	40	1.0	602500.0	385900.0	151500.0	710700.0	817600.0	469600.0	1314466.6441976707	30.0	135.0	-90.0
