id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
1.0	3.39	2019.505791	35.63818	-117.60615	10.696	42.0	48.0	60.0	-969400.0	32550.0	-72680.0	-911300.0	352100.0	-700300.0
2.0	3.39	2019.505801	35.67315	-117.51653	5.527	122.0	85.0	-93.0	23020000.0	4056000.0	5330000.0	-6116000.0	4899000.0	1229000.0
3.0	2.91	2019.505812	35.65908	-117.51852	3.001	191.0	57.0	-124.0	3276000.0	-1617000.0	422700.0	-3569000.0	-1508000.0	1490000.0
4.0	2.67	2019.505826	35.62737	-117.56689	3.132	149.0	55.0	121.0	10050000.0	3990000.0	-228700.0	-19280000.0	352300.0	-807700.0
5.0	3.78	2019.505829	35.65613	-117.51992	2.346	296.0	46.0	137.0	1602000.0	-2569000.0	304900.0	-3712000.0	-2115000.0	-769900.0
6.0	3.46	2019.505837	35.65515	-117.52953	10.851	317.0	64.0	173.0	19390.0	1509000.0	-2036000.0	6410000.0	-2188000.0	2649000.0
7.0	3.04	2019.505848	35.7216	-117.53323	5.351	304.0	64.0	121.0	7025000.0	-1041000.0	-148900.0	937600.0	-171200.0	1445000.0
8.0	3.28	2019.505852	35.63315	-117.6046	10.711	313.0	84.0	-176.0	-1338000.0	451000.0	-242700.0	-1832000.0	479200.0	-739700.0
9.0	3.12	2019.505867	35.66228	-117.52098	3.083	126.0	76.0	155.0	8348000.0	2763000.0	484600.0	6723000.0	-2130000.0	6335000.0
10.0	3.29	2019.505869	35.6726	-117.50968	4.023	123.0	85.0	160.0	3735000.0	1281000.0	1189000.0	-2877000.0	847900.0	-1656000.0
11.0	4.14	2019.505869	35.74073	-117.55676	4.81	127.0	84.0	167.0	3042000.0	-1221000.0	402500.0	503300.0	-105200.0	-118800.0
12.0	3.85	2019.505871	35.66293	-117.56143	8.723	164.0	78.0	-125.0	3359000.0	-1694000.0	508100.0	1326000.0	798200.0	-389000.0
13.0	4.59	2019.505892	35.60121	-117.59824	4.42	136.0	69.0	-161.0	-3399000.0	-670800.0	-642400.0	3507000.0	-123100.0	-136000.0
14.0	4.34	2019.505907	35.67084	-117.48062	10.44	178.0	74.0	-161.0	-2017000.0	-993200.0	274600.0	-1260000.0	-444800.0	-1335000.0
15.0	3.34	2019.505919	35.72572	-117.56065	6.553	127.0	81.0	157.0	2493000.0	-1344000.0	597100.0	1442000.0	-488100.0	425400.0
16.0	4.58	2019.505924	35.71179	-117.56316	4.2	326.0	87.0	176.0	2088000.0	-1446000.0	856900.0	1794000.0	-666700.0	366600.0
17.0	3.26	2019.505951	35.6899	-117.48635	1.986	318.0	83.0	-179.0	-2650000.0	-2349000.0	-221000.0	-6492000.0	-3189000.0	-1556000.0
18.0	3.0	2019.505959	35.65385	-117.53278	3.056	290.0	73.0	-172.0	2249000.0	3657000.0	2084000.0	3283000.0	-1094000.0	2829000.0
19.0	2.5	2019.505962	35.7198	-117.55942	2.911	332.0	84.0	158.0	4733000.0	-2474000.0	2644000.0	91450.0	-1817000.0	-84860.0
20.0	3.23	2019.505964	35.69233	-117.50857	2.363	286.0	76.0	173.0	-417800.0	1602000.0	1184000.0	907100.0	-11640000.0	-3805000.0
21.0	2.76	2019.50597	35.63747	-117.54822	3.103	141.0	62.0	-179.0	1828000.0	-132700.0	873900.0	1985000.0	187300.0	-784900.0
22.0	2.15	2019.505995	35.67107	-117.51918	8.799	125.0	62.0	97.0	14450.0	4451000.0	-2834000.0	8811000.0	-864200.0	4105000.0
23.0	3.18	2019.506025	35.68082	-117.48662	0.833	133.0	83.0	167.0	-2075000.0	2454000.0	812400.0	-14250000.0	-2108000.0	-661500.0
24.0	3.34	2019.506029	35.70923	-117.55182	2.451	345.0	84.0	173.0	1825000.0	-2791000.0	4921000.0	1882000.0	-1868000.0	-370200.0
25.0	4.16	2019.506038	35.65995	-117.52299	3.51	135.0	83.0	165.0	6865000.0	672600.0	2116000.0	-715600.0	-1707000.0	3975000.0
26.0	2.56	2019.506124	35.70802	-117.4754	2.466	59.0	89.0	130.0	-2607000.0	-2155000.0	-132700.0	-1638000.0	-1132000.0	-963300.0
27.0	3.38	2019.506057	35.69542	-117.48058	11.383	280.0	84.0	172.0	-2822000.0	-541600.0	128300.0	-482800.0	-966800.0	-1113000.0
28.0	2.61	2019.506067	35.68044	-117.499	3.076	284.0	77.0	175.0	-5367000.0	3886000.0	1491000.0	1774000.0	-3704000.0	-5739000.0
29.0	3.99	2019.506073	35.6976	-117.50674	5.981	310.0	88.0	165.0	-1885000.0	1897000.0	829600.0	3847000.0	-683200.0	195500.0
30.0	3.06	2019.506078	35.69783	-117.47826	2.061	153.0	86.0	-168.0	-3033000.0	-1777000.0	-16790.0	-4313000.0	-1954000.0	-1215000.0
31.0	3.4	2019.50609	35.63512	-117.59085	11.521	306.0	56.0	-131.0	2860000.0	-211800.0	1667000.0	-1135000.0	-790100.0	1764.0
32.0	2.59	2019.506111	35.63653	-117.57602	10.097	328.0	83.0	177.0	17900000.0	-2014000.0	1317000.0	3658000.0	-387200.0	-1117000.0
33.0	2.35	2019.506113	35.73648	-117.54092	4.596	174.0	62.0	-145.0	4746000.0	-1091000.0	472800.0	195000.0	-101900.0	724300.0
34.0	3.09	2019.506132	35.70052	-117.47427	1.97	322.0	89.0	-166.0	-2501000.0	-1811000.0	42640.0	-4099000.0	-1536000.0	-968400.0
35.0	2.27	2019.50617	35.67579	-117.58448	7.758	251.0	40.0	-104.0	1711000.0	-983200.0	-498800.0	-2208000.0	567700.0	210300.0
36.0	3.56	2019.506208	35.68745	-117.47823	7.96	322.0	87.0	168.0	-2919000.0	-1066000.0	-282600.0	-3802000.0	-2005000.0	-1133000.0
