x1	x2	x3	t	s11	s12	s13	s22	s23	s33	cfs	dip	stk	rk
-21.92635451685817	-0.4322973004897732	2.764649641887285	0.0	-4697000.0	-3264000.0	-227800.0	-1548000.0	82170.0	146600.0	741996.5825085393	59.0	62.0	-48.0
-21.836231595168144	0.6236855387533006	0.4259157381494354	0.0	2248000.0	1501000.0	305000.0	3970000.0	111400.0	811100.0	1580030.8701422676	70.0	176.0	-151.0
-20.32879534770697	-0.2200112168063321	0.1627208110476604	0.0	1598000.0	1988000.0	123400.0	1620000.0	8500.0	66290.0	-579761.9289923742	51.0	165.0	172.0
-19.11789804730481	2.88522677685525	1.0401965516721658	0.0	-2678000.0	1070000.0	-156600.0	2853000.0	440100.0	-36860.0	3071602.610772034	58.0	155.0	-150.0
-18.487221723319536	0.88447269806038	1.051731649941789	0.0	5590000.0	808700.0	110500.0	4297000.0	7232.0	333500.0	3068258.5336484397	43.0	35.0	-107.0
-22.58683390808276	-2.578902442209188	1.2741666429787537	0.0	-7844000.0	-2268000.0	7425.0	1209000.0	1788000.0	-124200.0	2735680.719469674	68.0	346.0	-145.0
-20.850989695665543	0.8022669615869619	0.1703317420508324	0.0	-2058000.0	297300.0	-210800.0	2056000.0	258000.0	-21880.0	472124.6573748196	31.0	10.0	-115.0
-19.92765588488251	-0.1096872771388826	2.0570031856863187	0.0	2085000.0	3169000.0	462600.0	2650000.0	317600.0	60090.0	-93306.53854971658	88.0	165.0	-171.0
-21.720338148043496	-1.7993452941624586	1.0199946625707217	0.0	-1242000.0	1163000.0	286400.0	2450000.0	971100.0	-174100.0	1465482.6938684662	38.0	193.0	-108.0
-17.408333591712445	4.568734640813823	1.7009034490471302	0.0	-2936000.0	545000.0	-145400.0	2999000.0	265400.0	-45300.0	2741643.846909623	50.0	162.0	-111.0
-20.81181204501349	-0.0434348925673034	4.483003560638257	0.0	95980.0	4843000.0	-55160.0	627200.0	-200100.0	-21600.0	297912.9281114581	8.0	149.0	6.0
-17.652909580280888	2.0687510389871187	0.3099050457869054	0.0	530100.0	2293000.0	348000.0	2833000.0	712000.0	793900.0	2288713.330555215	70.0	339.0	-141.0
-19.764227630975185	-0.8354320320921242	0.0416048575934135	0.0	6577000.0	-1221000.0	-493000.0	-6364000.0	776000.0	-202700.0	-931218.6924311765	73.0	282.0	163.0
-18.77425433034516	0.919118431893762	3.1582407096647014	0.0	-4858000.0	-2164000.0	-408000.0	1486000.0	-52410.0	191400.0	2157707.2907181163	57.0	171.0	-128.0
-21.15037636960428	2.214654850184834	0.982471800140679	0.0	-298100.0	1438000.0	-63960.0	2907000.0	304400.0	-370700.0	2708417.1353400187	83.0	297.0	158.0
-19.824773400900664	-0.5523291206941492	3.3387749235923905	0.0	3739000.0	824500.0	-69750.0	1542000.0	58500.0	-13830.0	1848089.5773955681	76.0	301.0	-166.0
-18.989631594599043	-0.8497181607431035	1.0306532385941298	0.0	236300.0	-343100.0	-230400.0	-301800.0	414100.0	-235900.0	285159.37082242314	43.0	181.0	-118.0
-18.867452607882207	-2.3588482685411134	0.907684817258924	0.0	-4751000.0	-2890000.0	-370600.0	-1403000.0	757000.0	33280.0	-1239833.405852483	46.0	240.0	-102.0
-18.113893191065102	-0.414637943984156	2.322261378179174	0.0	-2238000.0	-1819000.0	-7865.0	-1347000.0	186300.0	-29460.0	-5318.556229506386	77.0	339.0	-177.0
-20.509113745362715	3.649402913757627	1.416945059330823	0.0	-3667000.0	-2981000.0	-751000.0	-1914000.0	1728000.0	-989900.0	-2945614.166851137	64.0	305.0	144.0
-20.48669937597461	0.5498786819448348	0.222449935089342	0.0	3144000.0	120500.0	-29620.0	2173000.0	84460.0	-3194.0	2294635.5145920794	65.0	76.0	-154.0
-18.21160243828249	-0.1936973148514146	0.4863721833731443	0.0	533600.0	3318000.0	122700.0	4197000.0	301000.0	31880.0	4018637.824598873	59.0	160.0	-127.0
-20.437724605525933	1.5504569101716748	0.1137015185075939	0.0	-6883000.0	-3876000.0	-432100.0	-5338000.0	21690.0	-311200.0	-6012157.954212569	41.0	311.0	-134.0
-19.70659505299008	2.2791001765929506	2.284110887695688	0.0	4773000.0	2462000.0	715300.0	2206000.0	241500.0	70150.0	512902.828851038	50.0	209.0	-92.0
-18.192728730941308	1.484916187386069	0.927116799906674	0.0	5908000.0	1218000.0	-617100.0	3123000.0	843300.0	859700.0	1323581.9164986403	78.0	157.0	-155.0
-16.622490447043134	-0.020980542735273	0.530957724751028	0.0	9173000.0	-1678000.0	-565900.0	-9321000.0	1332000.0	242800.0	-8332562.895494879	61.0	164.0	-138.0
-15.9398248294441	-2.03450193467771	1.9323674504993305	0.0	-3564000.0	-2295000.0	-207100.0	-3763000.0	-579400.0	-238800.0	-2442394.342508207	63.0	312.0	173.0
-18.482039875572816	2.191874969692043	2.2829772397382686	0.0	-1435000.0	-365400.0	-69120.0	-3348000.0	-123700.0	-33860.0	-163336.02616430598	57.0	280.0	115.0
-16.742194943277635	3.671665804790136	0.1542902442166278	0.0	8447000.0	4126000.0	-58190.0	8687000.0	-595800.0	2694000.0	3174266.470717445	69.0	144.0	137.0
-18.092628025168565	0.586472433646099	1.3665016856656889	0.0	-8815000.0	-1475000.0	-87290.0	-653000.0	904600.0	-1883.0	1936968.8145170247	88.0	341.0	168.0
-15.626792908270902	0.5880738411692376	0.6000438512787222	0.0	-11900000.0	-2953000.0	-353200.0	-2529000.0	1724000.0	-453600.0	1174967.0973545164	73.0	162.0	-154.0
-17.969828979610533	2.153698448096885	2.6685509020918783	0.0	-1975000.0	-1591000.0	859300.0	-3209000.0	-683500.0	-322600.0	-2260338.2617137344	90.0	330.0	144.0
-14.556090087152374	1.753361131600684	0.948540567055405	0.0	13490000.0	3288000.0	585100.0	12660000.0	-303300.0	3715000.0	5183479.642645119	76.0	178.0	-157.0
-19.096524260960248	1.22063113980633	1.2167467941447196	0.0	-424200.0	484100.0	699600.0	-4731000.0	806300.0	83400.0	-260925.5315871556	63.0	78.0	-108.0
-16.370526738788826	4.686253550198615	1.296660584985149	0.0	5934000.0	3500000.0	-275100.0	7618000.0	676500.0	826400.0	8506877.733834933	74.0	128.0	-129.0
-18.672229398184424	-0.4695599178644038	0.982223513983872	0.0	9008000.0	6759000.0	-408600.0	397000.0	-87100.0	1186000.0	-305388.1334658521	67.0	153.0	-146.0
-19.19311949637635	3.713292178032709	0.5766150477408409	0.0	-5886000.0	-3354000.0	-206700.0	-1252000.0	632700.0	77140.0	-2383999.9111012197	85.0	312.0	179.0
-18.51791834650966	3.1585748886207528	1.8669015093622128	0.0	2410000.0	803500.0	283400.0	3127000.0	-169000.0	131600.0	1268549.43198942	90.0	354.0	177.0
-16.39901607627441	1.312267707503881	2.515715549835193	0.0	3872000.0	546200.0	-381500.0	4700000.0	-360100.0	870200.0	2598911.803810116	75.0	135.0	165.0
-16.277781588691436	3.20762265256758	0.72722298708384	0.0	-10250000.0	-1531000.0	2288000.0	-15720000.0	-2938000.0	-2728000.0	-6387892.617956131	63.0	141.0	125.0
-18.11027762052068	3.011115252910037	0.5284044139927073	0.0	13880000.0	-5868000.0	-1277000.0	-15550000.0	-540200.0	120200.0	-16673093.683978386	81.0	134.0	-152.0
-17.87059733070285	-0.091444554081348	2.056350348974316	0.0	3075000.0	577800.0	7159.0	2582000.0	-278800.0	348700.0	2134511.817578088	40.0	359.0	-64.0
-15.33256209785644	3.3765937140774795	2.729732341866753	0.0	-5462000.0	-2843000.0	-849800.0	-3578000.0	2800000.0	-1183000.0	-3477996.5629261704	70.0	134.0	-151.0
-15.12278992548192	2.6719619478283043	0.5972952071350082	0.0	5119000.0	2510000.0	-660700.0	-613400.0	2001000.0	-1273000.0	1032538.2655676976	30.0	195.0	-117.0
