id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
1.0	5.8	1997.734847	43.0305	12.8622	5.7	144.0	42.0	-80.0	-9053.0	135400.0	-10030.0	12130.0	32330.0	-101700.0
2.0	4.3	1997.735284	43.0208	12.9447	3.9	147.0	29.0	-88.0	-84650.0	-250600.0	64790.0	-1097000.0	78520.0	-483900.0
3.0	4.3	1997.73741	43.0907	12.8243	5.7	148.0	55.0	-89.0	-56860.0	168200.0	-110200.0	180400.0	180600.0	-1183000.0
4.0	2.4	1997.74219	43.037105	12.904191	3.41	105.0	45.0	-110.0	436800.0	569500.0	192500.0	445000.0	-146100.0	-1104000.0
5.0	2.9	1997.742296	43.007113	12.822975	7.067	130.0	55.0	-80.0	-196000.0	-77050.0	259800.0	-78360.0	184600.0	-152700.0
6.0	2.4	1997.742686	43.040255	12.876101	3.129	90.0	25.0	120.0	-2174000.0	-11750.0	1304000.0	1425000.0	-1371000.0	-771900.0
7.0	3.3	1997.742872	43.043738	12.894293	4.318	130.0	75.0	-80.0	800000.0	439300.0	-87480.0	163500.0	464500.0	-910800.0
8.0	2.4	1997.742904	43.040234	12.874486	2.653	90.0	40.0	-130.0	-1781000.0	-174700.0	990100.0	853400.0	-985500.0	-323600.0
9.0	2.4	1997.742906	43.051473	12.873798	2.867	165.0	30.0	-50.0	-4998000.0	-3155000.0	9174.0	-988900.0	-511300.0	6398000.0
10.0	2.9	1997.742908	43.040157	12.874722	2.64	160.0	60.0	-30.0	-1781000.0	-174700.0	990100.0	853400.0	-985500.0	-323600.0
11.0	2.4	1997.743049	43.043148	12.850445	4.396	75.0	75.0	-160.0	-3259000.0	-1342000.0	878000.0	-1832000.0	729100.0	-3874000.0
12.0	3.3	1997.743496	43.029464	12.873048	2.613	155.0	45.0	-70.0	-786300.0	24500.0	430300.0	434100.0	-69470.0	-560100.0
13.0	3.6	1997.74403	43.050574	12.891961	2.678	345.0	15.0	-30.0	-3082000.0	-2834000.0	-486200.0	-3621000.0	-944500.0	5002000.0
14.0	3.1	1997.744452	43.04716	12.903802	2.83	140.0	45.0	-100.0	412200.0	727700.0	130100.0	156800.0	-105700.0	-1150000.0
15.0	2.4	1997.744673	43.053369	12.920497	1.687	95.0	50.0	-140.0	107700.0	315800.0	-17000.0	22150.0	-10980.0	-312300.0
16.0	2.9	1997.745365	43.019515	12.85131	5.299	135.0	20.0	-50.0	-1742000.0	-253100.0	471700.0	-34490.0	172200.0	-404300.0
17.0	3.1	1997.74541	43.079252	12.806385	4.689	40.0	45.0	-100.0	-1451000.0	-863900.0	49810.0	-1813000.0	575500.0	-1137000.0
18.0	2.4	1997.745819	43.041398	12.85138	4.139	80.0	55.0	-140.0	-2496000.0	-1280000.0	158800.0	-1160000.0	261400.0	-1389000.0
19.0	2.4	1997.745967	42.939242	12.913535	5.573	205.0	60.0	-140.0	-148900.0	17730.0	25860.0	49030.0	3225.0	-6570.0
20.0	2.4	1997.746021	42.999947	12.866734	0.943	160.0	50.0	-80.0	37040.0	107800.0	-33840.0	149300.0	36730.0	-26410.0
21.0	2.4	1997.746431	43.0316	12.909698	2.997	265.0	80.0	-160.0	637000.0	514100.0	-483400.0	359900.0	114300.0	-244800.0
